,DBN,SchoolName,SchoolType,Rating
112,M146,P.S. 146 Ann M. Short,Elementary,5.0
113,M155,P.S. 155 William Paca,Elementary,4.0
114,M171,P.S. 171 Patrick Henry,K-8,5.0
115,M182,The Bilingual Bicultural School,Elementary,4.0
116,M206,P.S. 206 Jose Celso Barbosa,K-8,5.0
117,M224,M.S. 224 Manhattan East School for Arts & Academics,Middle,4.0
118,M372,ESPERANZA PREPARATORY ACADEMY,Middle,3.0
119,M375,Mosaic Preparatory Academy,Elementary,4.0
120,M377,Renaissance School of the Arts,Middle,5.0
121,M381,Global Neighborhood Secondary School,Middle,5.0
122,M406,GLOBAL TECHNOLOGY PREPARATORY,Middle,5.0
123,M497,Central Park East I,Elementary,4.0
124,M610,Young Women's Leadership School,Middle,4.0
125,M825,Isaac Newton Middle School for Math & Science,Middle,3.0
126,M964,Central Park East II,Elementary,5.0
127,M030,P.S. 030 Hernandez/Hughes,Elementary,5.0
128,M036,P.S. 036 Margaret Douglas,Elementary,3.0
129,M046,P.S. 046 Arthur Tappan,K-8,4.0
130,M092,P.S. 092 Mary McLeod Bethune,Elementary,4.0
131,M123,P.S. 123 Mahalia Jackson,K-8,3.0
132,M125,P.S. 125 Ralph Bunche,Elementary,5.0
133,M129,P.S. 129 John H. Finley,K-8,3.0
134,M133,P.S. 133 Fred R Moore,Elementary,2.0
135,M154,P.S. 154 Harriet Tubman,Elementary,4.0
136,M161,P.S. 161 Pedro Albizu Campos,K-8,4.0
137,M175,P.S. 175 Henry H Garnet,Elementary,3.0
138,M194,P.S. 194 Countee Cullen,Elementary,1.0
139,M195,I.S. 195 Roberto Clemente,Middle,
140,M197,P.S. 197 John B. Russwurm,Elementary,3.0
141,M200,P.S. 200- The James Mccune Smith School,Elementary,2.0
142,M286,I.S. M286 Renaissance Leadership Academy,Middle,4.0
143,M302,KAPPA IV,Middle,4.0
144,M318,Thurgood Marshall Academy Lower School,Elementary,5.0
145,M362,Columbia Secondary School,Middle,4.0
146,M367,Academy for Social Action: A College Board School,Middle,
147,M410,THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIES,Middle,4.0
148,M469,Choir Academy of Harlem,Middle,
149,M499,Frederick Douglass Academy,Middle,1.0
150,M514,New Design Middle School,Middle,3.0
151,M670,Thurgood Marshall Academy for Learning and Social Change,Middle,1.0
152,M004,P.S. 004 Duke Ellington,Elementary,2.0
153,M005,P.S. 005 Ellen Lurie,Elementary,3.0
154,M008,P.S. 008 Luis Belliard,Elementary,4.0
155,M018,P.S. 018 Park Terrace,K-8,3.0
156,M028,P.S. 028 Wright Brothers,Elementary,5.0
157,M048,P.S. 048 P.O. Michael J. Buczek,Elementary,4.0
158,M052,J.H.S. 052 Inwood,Middle,4.0
159,M098,P.S. 098 Shorac Kappock,Elementary,4.0
160,M115,P.S. 115 Alexander Humboldt,Elementary,3.0
161,M128,P.S. 128 Audubon,Elementary,5.0
162,M132,P.S. 132 Juan Pablo Duarte,Elementary,3.0
163,M143,J.H.S. 143 Eleanor Roosevelt,Middle,3.0
164,M152,P.S. 152 Dyckman Valley,Elementary,1.0
165,M153,P.S. 153 Adam Clayton Powell,Elementary,4.0
166,M173,P.S. 173,Elementary,4.0
167,M187,P.S./I.S. 187 Hudson Cliffs,K-8,5.0
168,M189,P.S. 189,Elementary,4.0
169,M192,P.S. 192 Jacob H. Schiff,Elementary,4.0
170,M210,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,K-8,5.0
171,M218,I.S. 218 Salome Urena,Middle,3.0
172,M223,The Mott Hall School,Middle,3.0
173,M278,Paula Hedbavny School,K-8,4.0
174,M293,City College Academy of the Arts,Middle,4.0
175,M311,Amistad Dual Language School,K-8,5.0
176,M314,Muscota,Elementary,4.0
177,M319,M.S. 319 - Maria Teresa,Middle,5.0
178,M322,Middle School 322,Middle,5.0
179,M324,M.S. 324 - Patria Mirabal,Middle,5.0
180,M325,P.S. 325,Elementary,1.0
181,M326,M.S. 326 - Writers Today & Leaders Tomorrow,Middle,3.0
182,M328,M.S. 328 - Manhattan Middle School for Scientific Inquiry,Middle,2.0
183,M346,Community Health Academy of the Heights,Middle,3.0
184,M348,Washington Heights Expeditionary Learning School,Middle,5.0
185,M349,Harbor Heights,Middle,3.0
186,M366,Washington Heights Academy,Elementary,5.0
187,M368,Hamilton Heights School,Elementary,1.0
188,M528,I.S. 528 Bea Fuller Rodgers School,Middle,3.0
189,X001,P.S. 001 Courtlandt School,Elementary,4.0
190,X005,PS 5 Port Morris,Elementary,3.0
191,X018,P.S. 018 John Peter Zenger,Elementary,3.0
192,X025,P.S. 025 Bilingual School,Elementary,4.0
193,X029,P.S./M.S. 029 Melrose School,K-8,4.0
194,X030,P.S. 030 Wilton,Elementary,4.0
195,X031,P.S./M.S. 031 The William Lloyd Garrison,K-8,4.0
196,X043,P.S. 043 Jonas Bronck,Elementary,4.0
197,X049,P.S. 049 Willis Avenue,Elementary,2.0
198,X065,P.S. 065 Mother Hale Academy,Elementary,4.0
199,X151,J.H.S. 151 Lou Gehrig,Middle,4.0
200,X154,P.S. 154 Jonathan D. Hyatt,Elementary,3.0
201,X157,P.S. 157 Grove Hill,Elementary,4.0
202,X161,P.S. 161 Ponce De Leon,Elementary,4.0
203,X162,J.H.S. 162 Lola Rodriguez De Tio,Middle,3.0
204,X179,P.S. 179,Elementary,4.0
205,X203,M.S. 203,Middle,
206,X221,South Bronx Preparatory: A College Board School,Middle,4.0
207,X223,M.S. 223 The Laboratory School of Finance and Technology,Middle,5.0
208,X224,P.S. / I.S. 224,Middle,5.0
209,X277,P.S. 277,Elementary,4.0
210,X296,South Bronx Academy for Applied Media,Middle,3.0
211,X298,Academy of Public Relations,Middle,3.0
212,X343,Academy of Applied Mathematics and Technology,Middle,4.0
213,X369,Young Leaders Elementary School,Elementary,3.0
214,X385,Performance School,Elementary,
215,X500,Hostos-Lincoln Academy of Science,Middle,2.0
216,X551,The Urban Assembly Bronx Academy of Letters,Middle,1.0
217,X014,P.S. X014 Senator John Calandra,Elementary,4.0
218,X036,P.S. 036 Unionport,Elementary,5.0
219,X048,P.S. 048 Joseph R. Drake,Elementary,4.0
220,X062,P.S. 062 Inocensio Casanova,Elementary,3.0
221,X069,P.S. 069 Journey Prep School,Elementary,5.0
222,X071,P.S. 071 Rose E. Scala,K-8,4.0
223,X072,P.S. 072 Dr. William Dorney,Elementary,3.0
224,X075,P.S. 75 School of Research and Discovery,Elementary,4.0
225,X093,P.S. 093 Albert G. Oliver,Elementary,5.0
226,X100,P.S. 100 Isaac Clason,Elementary,3.0
227,X101,M.S. X101 Edward R. Byrne,Middle,3.0
228,X107,P.S. 107,Elementary,3.0
229,X119,P.S. 119,Elementary,2.0
230,X123,J.H.S. 123 James M. Kieran,Middle,3.0
231,X125,J.H.S. 125 Henry Hudson,Middle,4.0
232,X130,P.S. 130 Abram Stevens Hewitt,Elementary,4.0
233,X131,J.H.S. 131 Albert Einstein,Middle,4.0
234,X138,P.S. 138 Samuel Randall,Elementary,4.0
235,X140,P.S. X140 The Eagle School,Elementary,3.0
236,X146,P.S. 146 Edward Collins,Elementary,2.0
237,X152,P.S. 152 Evergreen,Elementary,3.0
238,X182,P.S. 182,Elementary,4.0
239,X269,Bronx Studio School for Writers and Artists,Middle,3.0
240,X301,M.S. 301 Paul L. Dunbar,Middle,3.0
241,X302,M.S. 302 Luisa Dessus Cruz,Middle,4.0
242,X304,P.S. 304 Early Childhood School,Elementary,4.0
243,X333,P.S. 333 - The Museum School,Elementary,3.0
244,X335,The Academy of the Arts,Elementary,3.0
245,X337,The School for Inquiry and Social Justice,Middle,5.0
246,X366,Urban Assembly Academy of Civic Engagement,Middle,4.0
247,X367,"Archimedes Academy for Math, Science and Technology Applications",Middle,1.0
248,X371,Urban Institute of Mathematics,Middle,1.0
249,X375,The Bronx Mathematics Preparatory School,Middle,3.0
250,X376,Antonia Pantoja Preparatory Academy: A College Board School,Middle,4.0
251,X424,The Hunts Point School,Middle,3.0
252,X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,Middle,5.0
253,X467,MOTT HALL COMMUNITY SCHOOL,Middle,4.0
254,X562,Blueprint Middle School,Middle,
255,X004,P.S./M.S. 004 Crotona Park West,K-8,5.0
256,X011,P.S. 011 Highbridge,Elementary,4.0
257,X022,J.H.S. 022 Jordan L. Mott,Middle,3.0
258,X028,P.S. 028 Mount Hope,Elementary,4.0
259,X035,P.S. 035 Franz Siegel,Elementary,5.0
260,X042,P.S. 042 Claremont,Elementary,3.0
261,X053,P.S. 053 Basheer Quisim,Elementary,4.0
262,X055,P.S. 055 Benjamin Franklin,Elementary,2.0
263,X058,P.S. 058,Elementary,3.0
264,X063,P.S. 063 Author's Academy,Elementary,4.0
265,X064,P.S. 064 Pura Belpre,Elementary,
266,X070,P.S. 070 Max Schoenfeld,Elementary,1.0
267,X073,P.S. 073 Bronx,Elementary,2.0
268,X109,P.S. 109 Sedgwick,Elementary,4.0
269,X110,P.S. 110 Theodore Schoenfeld,Elementary,5.0
270,X114,P.S. X114 - Luis Llorens Torres Schools,Elementary,3.0
271,X117,I.S. 117 Joseph H. Wade,Middle,3.0
272,X126,P.S. 126 Dr Marjorie H Dunbar,Elementary,2.0
273,X128,Mott Hall III,Middle,4.0
274,X132,P.S. 132 Garret A. Morgan,Elementary,3.0
275,X145,J.H.S. 145 Arturo Toscanini,Middle,5.0
276,X163,P.S. 163 Arthur A. Schomburg,Elementary,4.0
277,X199,P.S. 199X - The Shakespeare School,Elementary,4.0
278,X204,P.S. 204 Morris Heights,Elementary,5.0
279,X215,Kappa,Middle,4.0
280,X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,K-8,4.0
281,X219,I.S. 219 New Venture School,Middle,3.0
282,X229,I.S. 229 Roland Patterson,Middle,4.0
283,X230,P.S. 230 Dr Roland N. Patterson,Elementary,
284,X231,Eagle Academy for Young Men,Middle,3.0
285,X232,I.S. 232,Middle,5.0
286,X241,"Urban Assembly School for Applied Math and Science, The",Middle,4.0
287,X303,I.S. X303 Leadership & Community Service,Middle,5.0
288,X313,I.S. 313 School of Leadership Development,Middle,3.0
289,X323,Bronx Writing Academy,Middle,5.0
290,X324,Bronx Early College Academy for Teaching & Learning,Middle,2.0
291,X325,Urban Science Academy,Middle,2.0
292,X327,Comprehensive Model School Project M.S. 327,Middle,5.0
293,X328,New Millennium Business Academy Middle School,Middle,3.0
294,X339,I.S. 339,Middle,4.0
295,X413,Bronx High School for Medical Science,Middle,4.0
296,X443,THE FAMILY SCHOOL,Elementary,3.0
297,X449,GRANT AVENUE ELEMENTARY SCHOOL,Elementary,2.0
298,X454,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,Middle,5.0
299,X457,SHERIDAN ACADEMY FOR YOUNG LEADERS,Elementary,3.0
300,X505,"Bronx School for Law, Government and Justice",Middle,4.0
301,X517,Frederick Douglass Academy III Secondary School,Middle,
302,X568,Young Women's Leadership School of the Bronx,Middle,
303,X003,P.S. 3 Raul Julia Micro Society,K-8,4.0
304,X007,P.S. 007 Kingsbridge,Elementary,5.0
305,X008,P.S. 008 Issac Varian,Elementary,5.0
306,X009,P.S. 9 Ryer Avenue Elementary School,Elementary,4.0
307,X015,P.S. X015 Institute for Environmental Learning,K-8,4.0
308,X020,P.S. 20 P.O.George J. Werdan III,K-8,3.0
309,X023,P.S. 023 The New Children's School,Elementary,4.0
310,X024,P.S. 024 Spuyten Duyvil,Elementary,3.0
311,X032,P.S. 032 Belmont,Elementary,5.0
312,X033,P.S. 033 Timothy Dwight,Elementary,3.0
313,X037,P.S. X037 - Multiple Intelligence School,K-8,5.0
314,X045,Thomas C. Giordano Middle School 45,Middle,3.0
315,X046,P.S. 046 Edgar Allan Poe,Elementary,4.0
316,X051,P.S. 051 Bronx New School,Elementary,4.0
317,X054,P.S. / I.S. 54,Elementary,3.0
318,X056,P.S. 056 Norwood Heights,Elementary,5.0
319,X059,P.S. 059 The Community School of Technology,Elementary,4.0
320,X080,J.H.S. 080 The Mosholu Parkway,Middle,3.0
321,X081,P.S. 081 Robert J. Christen,Elementary,5.0
322,X085,P.S. 085 Great Expectations,Elementary,3.0
323,X086,P.S. 086 Kingsbridge Heights,Elementary,5.0
324,X091,P.S. 091 Bronx,Elementary,3.0
325,X094,P.S. 094 Kings College School,Elementary,3.0
326,X095,P.S. 095 Sheila Mencher,K-8,4.0
327,X118,J.H.S. 118 William W. Niles,Middle,5.0
328,X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),Middle,4.0
329,X159,P.S. 159 Luis Munoz Marin Biling,Elementary,5.0
330,X205,P.S. 205 Fiorello Laguardia,Elementary,3.0
331,X206,I.S. 206 Ann Mersereau,Middle,4.0
332,X225,Theatre Arts Production Company School,Middle,4.0
333,X226,P.S. 226,Elementary,3.0
334,X228,Jonas Bronck Academy,Middle,5.0
335,X243,West Bronx Academy for the Future,Middle,5.0
336,X244,The New School for Leadership and Journalism,Middle,5.0
337,X246,P.S. 246 Poe Center,Elementary,3.0
338,X254,I.S. 254,Middle,4.0
339,X279,"P.S. 279 Captain Manuel Rivera, Jr.",K-8,3.0
340,X280,P.S./M.S. 280 Mosholu Parkway,K-8,4.0
341,X291,P.S. 291,Elementary,5.0
