,DBN,SchoolName,SchoolType,Rating
,M015,PS 015 ROBERTO CLEMENTE,Elementary School,4.0
,M019,PS 019 ASHER LEVY,Elementary School,4.0
,M020,PS 020 ANNA SILVER,Elementary School,4.0
,M034,PS 034 FRANKLIN D ROOSEVELT,K-8 School,3.0
,M063,PS 063 WILLIAM MCKINLEY,Elementary School,3.0
,M064,PS 064 ROBERT SIMON,Elementary School,3.0
,M110,PS 110 FLORENCE NIGHTINGALE,Elementary School,4.0
,M134,PS 134 HENRIETTA SZOLD,Elementary School,4.0
,M137,PS 137 JOHN L BERNSTEIN,Elementary School,4.0
,M140,PS 140 NATHAN STRAUS,K-8 School,4.0
,M142,PS 142 AMALIA CASTRO,Elementary School,3.0
,M184,PS 184M Shuang Wen,K-8 School,4.0
,M188,PS 188 THE ISLAND SCHOOL,K-8 School,5.0
,M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,Middle School,4.0
,M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",Middle School,4.0
,M315,THE EAST VILLAGE COMMUNITY SCHOOL,Elementary School,5.0
,M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,Middle School,3.0
,M361,CHILDREN'S WORKSHOP SCHOOL,Elementary School,4.0
,M363,NEIGHBORHOOD SCHOOL,Elementary School,4.0
,M364,EARTH SCHOOL,Elementary School,4.0
,M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,High School,4.0
,M450,EAST SIDE COMMUNITY HIGH SCHOOL,Middle School,5.0
,M450,EAST SIDE COMMUNITY HIGH SCHOOL,High School,5.0
,M509,MARTA VALLE SECONDARY SCHOOL,Middle School,2.0
,M509,MARTA VALLE SECONDARY SCHOOL,High School,3.0
,M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH",K-8 School,4.0
,M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH",High School,5.0
,M696,BARD HIGH SCHOOL EARLY COLLEGE,High School,4.0
,M839,TOMPKINS SQUARE MS EXTENSION,Middle School,5.0
,M001,PS 001 ALFRED E SMITH,Elementary School,3.0
,M002,PS 002 MEYER LONDON,Elementary School,4.0
,M003,PS 003 CHARRETTE SCHOOL,Elementary School,4.0
,M006,PS 006 LILLIE D. BLAKE,Elementary School,4.0
,M011,PS 011 WILLIAM T HARRIS,Elementary School,3.0
,M033,PS 033 CHELSEA PREP,Elementary School,1.0
,M040,PS 040 AUGUSTUS ST-GAUDENS,Elementary School,5.0
,M041,PS 041 GREENWICH VILLAGE,Elementary School,4.0
,M042,PS 042 BENJAMIN ALTMAN,Elementary School,4.0
,M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN,Middle School,1.0
,M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN,High School,1.0
,M051,PS 051 ELIAS HOWE,Elementary School,4.0
,M059,PS 059 BEEKMAN HILL INTL,Elementary School,4.0
,M077,PS 77 LOWER LAB SCHOOL,Elementary School,5.0
,M089,PS 89,Elementary School,3.0
,M104,JHS 104 SIMON BARUCH,Middle School,4.0
,M111,PS 111 ADOLPH S OCHS,K-8 School,5.0
,M114,EAST SIDE MIDDLE SCHOOL,Middle School,5.0
,M116,PS 116 MARY LINDLEY MURRAY,Elementary School,5.0
,M124,PS 124 YUNG WING,Elementary School,5.0
,M126,PS 126 JACOB AUGUST RIIS,K-8 School,3.0
,M130,PS 130 HERNANDO DESOTO,Elementary School,5.0
,M131,M S 131,Middle School,4.0
,M150,PS 150,Elementary School,3.0
,M158,PS 158 BAYARD TAYLOR,Elementary School,4.0
,M167,JHS 167 ROBERT F WAGNER,Middle School,3.0
,M183,PS 183 ROBERT L STEVENSON,Elementary School,5.0
,M198,PS 198 ISADOR E IDA STRAUS,Elementary School,3.0
,M212,PS 212 MIDTOWN WEST,Elementary School,5.0
,M217,PS 217/IS 217 ROOSEVELT IS.,K-8 School,4.0
,M225,ELLA BAKER SCHOOL,K-8 School,4.0
,M234,PS 234 INDEPENDENCE SCHOOL,Elementary School,4.0
,M255,MS 255 SALK SCHOOL OF SCIENCE,Middle School,3.0
,M260,MS 260 CLINTON SCHL WRITERS &,Middle School,5.0
,M289,IS 289,Middle School,2.0
,M290,PS 290 MANHATTAN NEW SCHOOL,Elementary School,5.0
,M312,NYC LAB MS FOR COLLABORATIVE STUDIES,Middle School,5.0
,M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHO,Elementary School,3.0
,M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,High School,4.0
,M407,INSTITUTE FOR COLLABORATIVE EDUCATION,Middle School,4.0
,M407,INSTITUTE FOR COLLABORATIVE EDUCATION,High School,4.0
,M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,Middle School,4.0
,M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,High School,4.0
,M409,COALITION SCHOOL FOR SOCIAL CHANGE,High School,3.0
,M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,High School,5.0
,M412,NYC LAB SCHOOL FOR COLLABORATIVE STUDIES,High School,5.0
,M413,SCHOOL OF THE FUTURE HIGH SCHOOL,Middle School,4.0
,M413,SCHOOL OF THE FUTURE HIGH SCHOOL,High School,4.0
,M414,NYC MUSEUM SCHOOL,High School,5.0
,M416,ELEANOR ROOSEVELT HIGH SCHOOL,High School,5.0
,M418,MILLENNIUM HIGH SCHOOL,High School,4.0
,M419,LANDMARK HIGH SCHOOL,High School,5.0
,M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVI,High School,3.0
