,DBN,SchoolName,SchoolType,Rating
,M425,HIGH SCHOOL FOR LEADERSHIP AND PUBLIC SERVICE,High School,1.0
,M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,High School,1.0
,M439,MANHATTAN VILLAGE ACADEMY,High School,5.0
,M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,High School,
,M442,BALLET TECH / NYC PUBLIC SCHOOL FOR DANCE,Elementary School,5.0
,M449,VANGUARD HIGH SCHOOL,High School,4.0
,M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,High School,4.0
,M460,WASHINGTON IRVING HIGH SCHOOL,High School,1.0
,M475,STUYVESANT HIGH SCHOOL,High School,5.0
,M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,High School,4.0
,M500,UNITY CENTER FOR URBAN TECHNOLOGIES,High School,3.0
,M519,TALENT UNLIMITED HIGH SCHOOL,High School,4.0
,M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,High School,3.0
,M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,High School,3.0
,M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,High School,4.0
,M542,MANHATTAN BRIDGES HIGH SCHOOL,High School,5.0
,M543,NEW DESIGN HIGH SCHOOL,High School,4.0
,M545,HIGH SCHOOL FOR DUAL LANGUAGE & ASIAN STUDIES,High School,5.0
,M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,High School,4.0
,M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,High School,5.0
,M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,High School,1.0
,M620,NORMAN THOMAS HIGH SCHOOL,High School,2.0
,M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,High School,3.0
,M630,ART AND DESIGN HIGH SCHOOL,High School,4.0
,M655,LIFE SCIENCES SECONDARY SCHOOL,Middle School,2.0
,M655,LIFE SCIENCES SECONDARY SCHOOL,High School,4.0
,M896,GREENWICH VILLAGE,Middle School,5.0
,M009,PS 009 SARAH ANDERSON,Elementary School,5.0
,M044,JHS 044 WILLIAM J O'SHEA,Middle School,4.0
,M054,JHS 054 B00KER T.WASHINGTON,Middle School,5.0
,M075,PS 075 EMILY DICKINSON,Elementary School,4.0
,M076,PS 076 A. PHILIP RANDOLPH,Elementary School,3.0
,M084,PS 084 LILLIAN WEBER,Elementary School,3.0
,M087,PS 087 WILLIAM SHERMAN,Elementary School,4.0
,M145,"PS 145, THE BLOOMINGDALE SCHOOL",Elementary School,4.0
,M149,PS 149 SOJOURNER TRUTH,K-8 School,3.0
,M163,PS 163 ALFRED E SMITH,Elementary School,4.0
,M165,PS 165 ROBERT E SIMON,Elementary School,5.0
,M166,PS 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AND,Elementary School,3.0
,M180,PS 180 HUGO NEWMAN,Elementary School,5.0
,M191,PS 191 AMSTERDAM,K-8 School,5.0
,M199,PS 199 JESSIE ISADOR STRAUS,Elementary School,5.0
,M208,PS 208 ALAIN L LOCKE,Elementary School,4.0
,M241,PS 241 FAMILY ACADEMY,K-8 School,4.0
,M242,PS242M G. P. BROWN COMP. SCHL.,Elementary School,3.0
,M243,MS 243 CENTER SCHOOL,Middle School,2.0
,M245,MS 245M THE COMPUTER SCHOOL,Middle School,4.0
,M246,MS 246M CROSSROADS SCHOOL,Middle School,3.0
,M247,MS 247M DUAL LANGUAGE MID. SCH,Middle School,5.0
,M250,MS 250 WEST SIDE COLLAB. M.S.,Middle School,5.0
,M256,MS 256 ACAD. & ATHL. EXCELLENC,Middle School,5.0
,M258,MS 258 COMMUNITY ACTION SCHL.,Middle School,5.0
,M333,PS 333 MANHATTAN SCHOOL FOR CHILDREN,K-8 School,5.0
,M334,THE ANDERSON SCHOOL,K-8 School,5.0
,M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VIS,Middle School,4.0
,M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VIS,High School,5.0
,M470,LOUIS D. BRANDEIS HIGH SCHOOL,High School,3.0
,M479,BEACON HIGH SCHOOL,High School,4.0
,M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART A,High School,5.0
,M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTIC",High School,3.0
,M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,High School,4.0
,M541,MANHATTAN/HUNTER SCIENCE HIGH SCHOOL,High School,5.0
,M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,Middle School,3.0
,M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,High School,4.0
,M862,MOTT HALL II,Middle School,3.0
,M007,PS 007 SAMUEL STERN,K-8 School,1.0
,M012,TAG YOUNG SCHOLARS,K-8 School,4.0
,M013,JHS 013 JACKIE ROBINSON,Middle School,1.0
,M037,RIVER EAST ELEMENTARY,Elementary School,4.0
,M038,PS 38 ROBERTO CLEMENTE,Elementary School,3.0
,M045,JHS 045 JOHN S ROBERTS,Middle School,1.0
,M050,PS 050 VITO MARCANTONIO,K-8 School,3.0
,M057,JAMES WELDON JOHNSON,K-8 School,4.0
,M072,PS 072,Elementary School,3.0
,M083,PS 083 LUIS MUNOZ RIVERA,Elementary School,4.0
,M096,PS 096 JOSEPH LANZETTA,K-8 School,4.0
,M101,PS 101 ANDREW DRAPER,K-8 School,1.0
,M102,PS 102 JACQUES CARTIER,Elementary School,3.0
,M108,PS 108 ASSMBLY ANGELO DEL TORO,K-8 School,5.0
,M117,TITO PUENTE EDUCATION COMPLEX,Middle School,2.0
,M146,PS 146 ANN M SHORT,Elementary School,3.0
,M155,PS 155 WILLIAM PACA,Elementary School,5.0
,M171,PS 171 PATRICK HENRY,K-8 School,5.0
,M182,THE BILINGUAL BICULTURAL SCHL,Elementary School,5.0
,M206,PS 206 JOSE CELSO BABOSA,Elementary School,2.0
,M224,MS 224 MANH. E.SCHOOL. ARTS&ACAD,Middle School,3.0
,M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,High School,5.0
,M495,PARK EAST HIGH SCHOOL,High School,4.0
,M497,CENTRAL PARK EAST I,Elementary School,2.0
,M555,CENTRAL PARK EAST SECONDARY HIGH SCHOOL,High School,4.0
,M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,Middle School,4.0
,M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,High School,5.0
,M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SC,Middle School,1.0
,M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SC,High School,3.0
,M680,THE HERITAGE SCHOOL,High School,5.0
,M825,ISAAC NEWTON JHS FOR SCIENCE & MATH,Middle School,2.0
,M964,CENTRAL PARK EAST II,Elementary School,4.0
,M030,PS 030 HERNANDEZ/HUGHES,Elementary School,5.0
,M046,PS 046 ARTHUR TAPPAN,Elementary School,5.0
,M092,PS 092 MARY MCLEOD BETHUNE,Elementary School,3.0
,M123,PS 123 MAHALIA JACKSON,Elementary School,4.0
,M125,PS 125 RALPH BUNCHE,Elementary School,3.0
,M129,PS 129 JOHN H FINLEY,Elementary School,5.0
,M133,PS 133 FRED R MOORE,Elementary School,3.0
,M154,PS 154 HARRIET TUBMAN,Elementary School,3.0
,M161,PS 161 PEDRO ALBIZU CAMPOS,Elementary School,4.0
,M175,PS 175 HENRY H GARNET,Elementary School,4.0
,M194,PS 194 COUNTEE CULLEN,Elementary School,1.0
,M195,I S 195 ROBERTO CLEMENTE,Middle School,3.0
,M197,PS 197 JOHN B RUSSWURM,Elementary School,4.0
,M200,PS 200- THE JAMES McCUNE SMITH SCHOOL,Elementary School,4.0
,M286,IS 286 RENAISSANCE MIL/LDRSHP,Middle School,1.0
,M302,KAPPA IV,Middle School,5.0
,M317,KAPPA II,Middle School,4.0
,M469,CHOIR ACADEMY OF HARLEM,Middle School,3.0
,M469,CHOIR ACADEMY OF HARLEM,High School,2.0
,M499,FREDERICK DOUGLASS ACADEMY,Middle School,5.0
,M499,FREDERICK DOUGLASS ACADEMY,High School,4.0
,M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL,Middle School,3.0
,M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL,High School,4.0
,M685,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,High School,4.0
,M004,PS 004 DUKE ELLINGTON,Elementary School,4.0
,M005,PS 005 ELLEN LURIE,Elementary School,4.0
,M008,PS 008 LUIS BELLIARD,Elementary School,3.0
,M018,PS 018 PARK TERRACE,K-8 School,4.0
,M028,PS 028 WRIGHT BROTHERS,Elementary School,3.0
,M048,PS 048 PO MICHAEL J. BUCZEK,Elementary School,4.0
,M052,JHS 052 INWOOD,Middle School,4.0
,M098,PS 098 SHORAC KAPPOCK,Elementary School,3.0
,M115,PS 115 ALEXANDER HUMBOLDT,Elementary School,4.0
,M128,PS 128 AUDUBON,Elementary School,4.0
,M132,PS 132 JUAN PABLO DUARTE,Elementary School,4.0
,M143,JHS 143 ELEANOR ROOSEVELT,Middle School,3.0
,M152,PS 152 DYCKMAN VALLEY,Elementary School,4.0
,M153,PS 153 ADAM CLAYTON POWELL,Elementary School,5.0
,M173,PS 173,Elementary School,4.0
,M187,PS 187 HUDSON CLIFFS,K-8 School,4.0
,M189,PS 189,Elementary School,3.0
,M192,PS 192 JACOB H SCHIFF,Elementary School,4.0
,M210,"PS 210, 21ST CENT ACAD",K-8 School,3.0
,M218,I S 218 SALOME UKENA,Middle School,3.0
,M223,I S 223 MOTT HALL,K-8 School,5.0
,M278,P.S./I.S. 278,K-8 School,5.0
,M293,CITY COLLEGE ACADEMY OF THE ARTS,Middle School,4.0
,M311,AMISTAD DUAL LANGUAGE SCHOOL,K-8 School,5.0
,M314,MUSCOTA,Elementary School,1.0
,M319,MS 319 - MARIA TERESA,Middle School,5.0
,M321,MS 321 - MINERVA,Middle School,4.0
,M322,MIDDLE SCHOOL 322,Middle School,4.0
,M324,MS 324 - PATRIA,Middle School,5.0
,M325,PS 325,Elementary School,3.0
,M326,MS 326 - WRITERS TODAY & LEADERS TOMORROW,Middle School,3.0
,M328,MS 328 - MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC IN,Middle School,5.0
,M349,HARBOR HEIGHTS,Middle School,3.0
,M462,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,High School,5.0
,M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,High School,5.0
,M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,High School,5.0
,M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,High School,5.0
,M528,I.S. 528 BEA FULLER RODGERS SCHOOL,Middle School,4.0
,M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,High School,4.0
,M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHE,High School,5.0
,M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERI",High School,5.0
,X001,PS 001 COURTLANDT SCHOOL,Elementary School,2.0
,X005,PS 005 PORT MORRIS,Elementary School,4.0
,X018,PS 018 JOHN PETER ZENGER,Elementary School,2.0
,X025,PS 025 BILINGUAL SCHOOL,K-8 School,3.0
,X029,PS/MS 029 MELROSE SCHOOL,K-8 School,2.0
,X030,PS 030 WILTON,Elementary School,3.0
,X031,PS/MS 031 THE WILLIAM LLOYD GARRISON,K-8 School,3.0
,X043,PS 043 JONAS BRONCK,Elementary School,3.0
,X049,PS 049 WILLIS AVE,Elementary School,4.0
,X065,PS 065 MOTHER HALE ACADEMY,Elementary School,3.0
,X151,JHS 151 LOU GEHRIG,Middle School,4.0
,X154,PS 154 JONATHAN D HYATT,Elementary School,4.0
,X156,PS 156 BENJAMIN BANNEKER,Elementary School,1.0
,X157,PS 157 GROVE HILL,Elementary School,5.0
,X161,PS 161 PONCE DE LEON,Elementary School,5.0
,X162,JHS 162 LOLA RODRIGUEZ DE TIO,Middle School,4.0
,X179,PS 179,Elementary School,1.0
,X203,MS 203,Middle School,3.0
,X220,PS 220 MOTT HAVEN VILLAGE SCHOOL,Elementary School,1.0
,X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,Middle School,4.0
,X223,MS 223/THE LABORATORY SCHOOL OF FINANCE AND TECHNO,Middle School,4.0
,X224,P.S./I.S. 224,Middle School,2.0
,X277,PS 277,Elementary School,2.0
,X296,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,Middle School,5.0
,X298,ACADEMY OF PUBLIC RELATIONS,Middle School,5.0
,X343,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,Middle School,5.0
,X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,High School,3.0
,X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,High School,5.0
,X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,Middle School,2.0
,X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,High School,4.0
,X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,High School,4.0
,X547,NEW EXPLORERS HIGH SCHOOL,High School,3.0
,X548,THE URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,High School,5.0
,X551,BRONX ACADEMY OF LETTERS,High School,5.0
,X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIG,High School,3.0
,X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,High School,4.0
,X670,HEALTH OPPORTUNITIES HIGH SCHOOL,High School,3.0
,X014,PS 014 SEN JOHN CALANDRA,Elementary School,2.0
,X036,PS 036 UNIONPORT,Elementary School,5.0
,X048,PS 048 JOSEPH R DRAKE,Elementary School,3.0
,X062,PS 062 INOCENSIO CASANOVA,Elementary School,4.0
,X069,PS 069 THE NEW VISION SCHOOL,Elementary School,5.0
,X071,PS 071 ROSE E SCALA,K-8 School,4.0
,X072,PS 072 DR WILLIAM DORNEY,Elementary School,4.0
,X075,PS 075,Elementary School,4.0
,X093,PS 093 ALBERT G. OLIVER,Elementary School,3.0
,X100,PS 100 ISSAC CLASON,Elementary School,3.0
,X101,MS 101X P.O. EDWARD R. BYRNE,Middle School,4.0
,X107,PS 107,Elementary School,4.0
,X119,PS 119,Elementary School,5.0
,X123,JHS 123 JAMES M. KIERNAN,Middle School,5.0
,X125,JHS 125 HENRY HUDSON,Middle School,4.0
,X130,PS 130 ABRAM STEVENS HEWITT,Elementary School,1.0
,X131,JHS 131 ALBERT EINSTEIN,Middle School,3.0
,X138,PS 138 SAMUEL RANDALL,Elementary School,3.0
,X140,PS 140 EAGLE,Elementary School,3.0
,X146,PS 146 EDWARD COLLINS,Elementary School,4.0
,X152,PS 152 EVERGREEN,Elementary School,5.0
,X182,PS 182,Elementary School,1.0
,X201,MS 201X SCL THEATRE ARTS & RES,Middle School,1.0
,X282,"YOUNG WOMEN'S LEADERSHIP SCHOOL, BRONX CAMPUS",Middle School,2.0
,X293,RENAISSANCE HIGH SCHOOL OF MUSICAL THEATER & TECHN,High School,4.0
,X295,GATEWAY SCHOOL OF ENVIRONMENTAL RESEARCH AND TECHN,High School,3.0
,X301,MS 301 PAUL L. DUNBAR MS,Middle School,3.0
,X302,MS 302 LUISA DESSUS CRUZ MS,Middle School,4.0
,X304,PS 304 EARLY CHILDHOOD SCHOOL,Elementary School,4.0
,X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD ST,High School,2.0
,X312,MILLENNIUM ART ACADEMY,High School,5.0
,X335,NEW SCHOOL #2 @ PS 60,Elementary School,3.0
,X337,THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,Middle School,4.0
,X405,HERBERT LEHMAN HIGH SCHOOL,High School,4.0
,X452,BRONX GUILD: A NEW YORK CITY OUTWARD BOUND SCHOOL,High School,3.0
,X530,BANANA KELLY HIGH SCHOOL,High School,4.0
,X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,High School,3.0
,X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,High School,3.0
,X002,PS 002 MORRISANIA,Elementary School,2.0
,X004,PS\MS 004 CROTONA PARK WEST,K-8 School,3.0
,X011,PS 011 HIGHBRIDGE,Elementary School,2.0
,X022,JHS 022 JORDAN L MOTT,Middle School,5.0
,X028,PS 028 MOUNT HOPE,Elementary School,4.0
,X035,PS 035 FRANZ SIEGEL,Elementary School,3.0
,X042,PS 042 CLAREMONT,Elementary School,4.0
,X053,PS 053 BASHEER QUISIM,Elementary School,4.0
,X055,PS 055 BENJAMIN FRANKLIN,Elementary School,3.0
,X058,PS 058,Elementary School,4.0
,X063,PS 063 AUTHOR'S ACADEMY,Elementary School,4.0
,X064,PS 064 PURA BELPRE,Elementary School,2.0
,X070,PS 070 MAX SCHOENFELD,Elementary School,3.0
,X073,PS 073 BRONX,Elementary School,4.0
,X090,PS 090 GEORGE MEANY,Elementary School,2.0
,X109,PS 109 SEDGWICK,Elementary School,4.0
,X110,PS 110 THEODORE SCHOENFELD,Elementary School,2.0
,X114,PS 114 LUIS LLORENS TORRES CHL,Elementary School,4.0
,X117,I.S.117 JOSEPH H WADE,Middle School,4.0
,X126,PS 126 DR MARJORIE H DUNBAR,Elementary School,5.0
,X128,MOTT HALL III,Middle School,5.0
,X132,PS 132 GARRET A MORGAN,Elementary School,2.0
,X145,JHS 145 ARTURO TOSCANINNI,Middle School,4.0
,X163,PS 163 ARTHUR A SCHOMBURG,Elementary School,2.0
,X166,JHS 166 ROBERTO CLEMENTE,Middle School,3.0
,X199,P.S. 199X THE SHAKESPEARE SCHOOL,Elementary School,4.0
,X204,PS 204 MORRIS HEIGHTS,Elementary School,4.0
,X215,KAPPA,Middle School,5.0
,X218,P/IS 218 R HERNANDEZ DUAL LANG,K-8 School,5.0
,X219,IS 219 NEW VENTURE SCHOOL,Middle School,4.0
,X229,I S 229 ROLAND PATTERSON,Middle School,5.0
,X230,PS 230 DR ROLAND N PATTERSON,Elementary School,3.0
,X232,IS 232,Middle School,3.0
,X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOA,Middle School,4.0
,X303,IS 303 LEADERSHIP & COMM. SER,Middle School,5.0
,X313,IS 313 SCHL OF LEADERSHIP DEV.,Middle School,3.0
,X323,BRONX WRITING ACADEMY,Middle School,5.0
,X325,URBAN SCIENCE ACADEMY,Middle School,5.0
,X327,COMPREHENSIVE MODEL SCHOOL PROJECT MS 327,Middle School,5.0
,X328,NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,Middle School,4.0
,X339,IS 339 SCHOOL OF COMM. TECH.,Middle School,3.0
,X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",Middle School,1.0
,X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",High School,3.0
,X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,Middle School,4.0
,X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,High School,4.0
,X003,PS 3 RAUL JULIA MICRO SOCIETY,K-8 School,5.0
,X007,PS 007 KINGSBRIDGE,Elementary School,5.0
,X008,PS 008 ISSAC VARIAN,Elementary School,4.0
,X009,RYER AVENUE ELEMENTARY SCHOOL,Elementary School,4.0
,X015,PS 015 INST FOR ENVIRO. LRNG.,K-8 School,5.0
,X020,PS 20 P.O.GEORGE J. WERDAN III,K-8 School,3.0
,X024,PS 024 SPUYTEN DUYVIL,Elementary School,4.0
,X032,PS 032 BELMONT,Elementary School,5.0
,X033,PS 033 TIMOTHY DWIGHT,Elementary School,2.0
,X037,PS 037 MULTIPLE INTELLIGENCE S,K-8 School,5.0
,X045,JHS 045 THOMAS C. GIORDANO,Middle School,4.0
,X046,PS 046 EDGAR ALLAN POE,Elementary School,5.0
,X051,PS 051 BRONX NEW SCHOOL,Elementary School,3.0
,X054,PS/IS 54,Elementary School,4.0
,X056,PS 056 NORWOOD HEIGHTS,Elementary School,4.0
,X059,PS 059 THE COMM SCHOOL OF TEC,Elementary School,4.0
,X079,PS 079 CRESTON,Elementary School,1.0
,X080,JHS 080 THE MOSHOLU PARKWAY,Middle School,5.0
,X081,PS 081 ROBERT J. CHRISTEN,Elementary School,4.0
,X085,PS 085 GREAT EXPECTATIONS,Elementary School,4.0
,X086,PS 086 KINGSBRIDGE HEIGHTS,Elementary School,5.0
,X091,PS 091 BRONX,Elementary School,4.0
,X094,PS 094 KINGS COLLEGE SCHOOL,Elementary School,3.0
,X095,PS 095 SHEILA MENCHER,K-8 School,4.0
,X118,JHS 118 WILLIAM W NILES,Middle School,4.0
,X141,RIVERDALE/KINGSBRIDGE ACADEMY (MS/HS 141),Middle School,3.0
,X141,RIVERDALE/KINGSBRIDGE ACADEMY (MS/HS 141),High School,5.0
,X159,PS 159 LUIS MUNOZ MARIN BILING,Elementary School,3.0
,X205,PS 205 FIORELLO LAGUARDIA,Elementary School,4.0
,X206,IS 206 ANN MERSEREAU,Middle School,2.0
,X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,Middle School,4.0
,X226,PS 226,Elementary School,4.0
,X228,JONAS BRONCK ACADEMY,Middle School,5.0
,X237,"THE MARIE CURIE HIGH SCHOOL FOR MEDICINE, NURSING",Middle School,4.0
,X241,THE URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCI,Middle School,5.0
,X243,WEST BRONX ACADEMY FOR THE FUTURE,Middle School,4.0
,X244,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,Middle School,4.0
,X246,PS 246 POE CENTER,Elementary School,4.0
,X254,I.S. 254,Middle School,5.0
,X279,"PS 279 CAPT MANUEL RIVERA, JR",K-8 School,5.0
,X280,PS 280 MOSHOLU PARKWAY,K-8 School,5.0
,X284,BRONX SCHOOL OF LAW AND FINANCE,High School,5.0
,X291,PS 291,Elementary School,2.0
,X306,PS 306,Elementary School,4.0
,X307,EAMES PLACE (P.S.307),Elementary School,5.0
,X308,BRONX DANCE ACADEMY SCHOOL,Middle School,5.0
,X310,PS 310 MARBLE HILL,Elementary School,5.0
